delta_v (RPM),w (rad/s),v_x (m/s)
4.0425,0.076969,0.0533076
2.38333,0.0453786,0.0597045
2.38333,-0.0453786,0.0618368
4.49167,0.0855211,0.0618368
0.513333,0.00977384,0.0575722
0.513333,0.00977384,0.0575722
4.03333,0.0767945,0.0639691
3.00667,-0.0572468,0.0661014
1.06333,-0.0202458,0.0597045
2.09,0.0397935,0.0597045
3.09833,-0.0589921,0.0639691
0.055,-0.0010472,0.0618368
1.49417,0.0284489,0.0575722
2.42,-0.0460767,0.0575722
2.01667,0.0383972,0.0575722
0.348333,-0.00663225,0.0575722
0.421667,0.00802851,0.0597045
3.72167,0.0708604,0.0554399
2.89667,-0.0551524,0.0575722
2.5025,0.0476475,0.0533076
0.284167,0.00541052,0.0597045
0.861667,0.0164061,0.0597045
2.2275,-0.0424115,0.0597045
2.16333,0.0411898,0.0597045
2.09917,-0.039968,0.0554399
2.05333,-0.0390954,0.0597045
2.02583,0.0385718,0.0618368
3.92333,-0.0747001,0.0597045
0.678333,-0.0129154,0.0618368
0.88,0.0167552,0.0597045
4.32667,-0.0823795,0.0618368
1.1275,0.0214675,0.0597045
0.641667,-0.0122173,0.0597045
1.11833,0.021293,0.0575722
4.565,0.0869174,0.0618368
0.559167,0.0106465,0.0554399
2.54833,0.0485202,0.0575722
4.3175,0.082205,0.0597045
3.58417,-0.0682424,0.0511753
1.75083,-0.0333358,0.0639691
2.75,0.0523599,0.0639691
2.86,-0.0544543,0.0554399
1.68667,-0.0321141,0.0639691
1.32,0.0251327,0.0618368
1.50333,-0.0286234,0.0554399
3.72167,0.0708604,0.0575722
0.650833,-0.0123918,0.0618368
3.355,-0.0638791,0.0618368
3.30917,0.0630064,0.0618368
2.10833,0.0401426,0.0575722
2.74083,-0.0521853,0.0639691
1.4025,0.0267035,0.0554399
1.16417,0.0221657,0.0597045
1.16417,0.0221657,0.0597045
2.64917,0.05044,0.0575722
4.3725,-0.0832522,0.0575722
0.183333,0.00349066,0.0533076
0.0825,0.0015708,0.0554399
0.348333,0.00663225,0.0191907
10.3492,0.197048,0.0149261
7.98417,0.152018,0.0127938
7.21417,0.137357,0.0170584
10.1108,0.19251,0.0170584
9.82667,0.187099,0.0298522
7.6725,0.146084,0.042646
6.74667,0.128456,0.0575722
1.22833,-0.0233874,0.042646
7.425,0.141372,0.0447783
4.17083,0.0794125,0.0447783
1.5675,0.0298451,0.0469106
6.56333,0.124966,0.049043
1.11833,0.021293,0.049043
5.98583,0.11397,0.0447783
4.7025,0.0895354,0.0469106
2.32833,0.0443314,0.0469106
5.6925,0.108385,0.0511753
2.32833,0.0443314,0.0511753
3.3,0.0628319,0.0447783
5.64667,0.107512,0.049043
0.3575,-0.00680678,0.0469106
6.27,0.119381,0.0447783
2.13583,0.0406662,0.0511753
2.89667,0.0551524,0.0469106
5.24333,0.0998328,0.0511753
3.47417,0.066148,0.049043
5.38083,0.102451,0.0511753
5.5,0.10472,0.0469106
1.42083,0.0270526,0.0511753
2.48417,0.0472984,0.049043
5.48167,0.104371,0.0554399
0,0,0.0511753
6.215,0.118333,0.049043
0.825,-0.015708,0.0511753
3.95083,0.0752237,0.049043
3.09833,0.0589921,0.0533076
2.86,0.0544543,0.0533076
4.52833,0.0862193,0.0511753
4.25333,0.0809833,0.049043
1.66833,0.031765,0.049043
6.55417,0.124791,0.0511753
0.0275,-0.000523599,0.0511753
1.2375,0.0235619,0.0511753
3.75833,0.0715585,0.0597045
1.83333,0.0349066,0.0533076
0.284167,-0.00541052,0.0575722
5.61,0.106814,0.0511753
0.165,0.00314159,0.0575722
4.76667,0.0907571,0.049043
1.24667,0.0237365,0.0554399
2.02583,0.0385718,0.0533076
5.46333,0.104022,0.0682337
1.5675,0.0298451,0.0554399
0.7425,0.0141372,0.0618368
4.44583,0.0846485,0.0447783
0.4125,-0.00785398,0.0533076
0.0183333,-0.000349066,0.0511753
2.53917,0.0483456,0.0511753
0.0825,0.0015708,0.0511753
5.26167,0.100182,0.0554399
1.74167,0.0331613,0.0533076
1.0175,-0.0193732,0.0533076
2.86917,0.0546288,0.0554399
1.27417,0.0242601,0.0533076
0.055,0.0010472,0.0554399
4.11583,0.0783653,0.0533076
2.0075,0.0382227,0.0575722
0.8525,0.0162316,0.0511753
2.75,0.0523599,0.0533076
1.28333,0.0244346,0.0554399
0.0458333,-0.000872665,0.0533076
3.52,0.0670206,0.0533076
1.14583,0.0218166,0.0575722
0.165,-0.00314159,0.0554399
5.04167,0.0959931,0.0511753
0.696667,-0.0132645,0.0575722
1.06333,0.0202458,0.0554399
1.57667,0.0300197,0.0554399
0.33,0.00628319,0.0575722
1.03583,0.0197222,0.0575722
2.19083,0.0417134,0.0575722
0.293333,0.00558505,0.0533076
4.25333,0.0809833,0.0554399
3.94167,0.0750492,0.0554399
1.63167,-0.0310669,0.0597045
3.5475,0.0675442,0.0533076
0.100833,0.00191986,0.0575722
0.0733333,0.00139626,0.0554399
1.8425,0.0350811,0.0597045
1.03583,0.0197222,0.0597045
1.0725,0.0204204,0.0554399
2.585,0.0492183,0.0597045
0.678333,0.0129154,0.0554399
0.3575,-0.00680678,0.0575722
3.2175,0.0612611,0.0575722
2.1725,0.0413643,0.0575722
2.2825,0.0434587,0.0597045
3.56583,0.0678933,0.0533076
0.705833,-0.013439,0.0533076
3.62083,0.0689405,0.0533076
2.8325,0.0539307,0.0554399
2.8325,0.0539307,0.0554399
3.69417,0.0703368,0.0533076
1.06333,0.0202458,0.0597045
1.06333,0.0202458,0.0597045
1.57667,0.0300197,0.0575722
1.54917,0.0294961,0.0575722
1.65917,0.0315905,0.0597045
2.98833,0.0568977,0.0575722
3.4375,0.0654498,0.0533076
